,sample,mean_MMI,sd_MMI,var_MMI,mean_MMI_rescale,sd_MMI_rescale,,,Subsample Count,OE_X,OE_sd,MMI_X,MMI_sd,MMI.rescale_sd,MMI.rescale_X
200,38117-ORDEQ:20150820:R:SR,0.77950768,0.024080882,0.000579889,1.06781874,0.03298751,,,,,,,,,
201,38119-ORDEQ:20150819:R:SR,0.762769633,0.020087862,0.000403522,1.044889908,0.027517619,,,,,,,,,
202,38120-ORDEQ:20150707:R:SR,0.691073399,0.036761068,0.001351376,0.946675888,0.050357627,,,,,,,,,
203,38128-ORDEQ:20150929:R:SR,0.631174375,0.025034622,0.000626732,0.864622431,0.034294003,,,,,,,,,
204,38130-ORDEQ:20151005:R:SR,0.731171994,0.029224401,0.000854066,1.001605471,0.040033426,,,,,,,,,
205,38131-ORDEQ:20151006:R:SR,0.771010401,0.018680696,0.000348968,1.056178631,0.025589995,,,,,,,,,
206,38503-ORDEQ:20150729:R:SR,0.735701504,0.024889457,0.000619485,1.00781028,0.034095147,,,,,,,,,
207,38552-ORDEQ:20160802:R:SR,0.690500592,0.027910602,0.000779002,0.945891221,0.038233701,,,,,,,,,
208,38558-ORDEQ:20160720:R:SR,0.651662559,0.033819584,0.001143764,0.892688437,0.046328197,,,,,,,,,
209,38583-ORDEQ:20160818:R:SR,0.722214757,0,0,0.989335284,0,,,,,,,,,
210,38606-ORDEQ:20160927:R:SR,0.682654979,0.022814466,0.0005205,0.935143808,0.031252693,,,,,,,,,
211,505BMCMCR:20100804:T:QCFR,0.722762894,0.033240773,0.001104949,0.990086156,0.045535305,,,,,,,,,
212,505PS0110:20100803:T:SR,0.702878005,0.027262485,0.000743243,0.962846582,0.03734587,,,,,,,,,
213,526CE0061:20040803:R:SR,0.734779444,0.038402204,0.001474729,1.006547183,0.052605759,,,,,,,,,
214,526PNCAMF:20130625:T:SR,0.655507342,0.035224547,0.001240769,0.897955262,0.048252804,,,,,,,,,
215,526PS0076:20080826:T:SR,0.70718779,0.034049183,0.001159347,0.968750398,0.046642716,,,,,,,,,
216,526PS1612:20150804:T:SR,0.647449684,0.044308225,0.001963219,0.886917376,0.060696199,,,,,,,,,
217,PIBO:0904:20000820:R:SR,0.669215916,0.029026804,0.000842555,0.916734131,0.039762745,,,,,,,,,
218,PIBO_1432:20100804:R:SR,0.727069862,0.030114836,0.000906903,0.995986112,0.0412532,,,,,,,,,
219,dfw_2150:20090922:R:SR,0.632199863,0.035376725,0.001251513,0.866027209,0.048461267,,,,,,,,,
220,dfw_8008:20090818:R:SR,0.810408894,0.021738163,0.000472548,1.110149169,0.029778305,,,,,,,,,
